GUID Partition Table (EFI)
Offset Sector: 0
Units are in 512-byte sectors

      Slot      Start        End          Length       Description
000:  Meta      0000000000   0000000000   0000000001   Safety Table
001:  -------   0000000000   0000000033   0000000034   Unallocated
002:  Meta      0000000001   0000000001   0000000001   GPT Header
003:  Meta      0000000002   0000000017   0000000016   Partition Table
004:  000       0000000034   0000000065   0000000032   board_info
005:  001       0000000066   0000008257   0000008192   pg1fs
006:  002       0000008258   0000010305   0000002048   sbl1
007:  003       0000010306   0000065535   0000055230   reserve_1
008:  004       0000065536   0000066047   0000000512   mfg
009:  005       0000066048   0000114557   0000048510   pg2fs
010:  006       0000114558   0000115069   0000000512   rpm
011:  007       0000115070   0000119165   0000004096   tz
012:  008       0000119166   0000127357   0000008192   aboot
013:  009       0000127358   0000147837   0000020480   sp1
014:  010       0000147838   0000147901   0000000064   ddr
015:  011       0000147902   0000149949   0000002048   rfg_0
016:  012       0000149950   0000151997   0000002048   rfg_1
017:  013       0000151998   0000154045   0000002048   rfg_2
018:  014       0000154046   0000156093   0000002048   rfg_3
019:  015       0000156094   0000158141   0000002048   rfg_4
020:  016       0000158142   0000160189   0000002048   rfg_5
021:  017       0000160190   0000162237   0000002048   rfg_6
022:  018       0000162238   0000164285   0000002048   rfg_7
023:  019       0000164286   0000167357   0000003072   fsg
024:  020       0000167358   0000288191   0000120834   radio
025:  021       0000288192   0000308671   0000020480   tool_diag
026:  022       0000308672   0000318911   0000010240   wcnss
027:  023       0000318912   0000318913   0000000002   limits
028:  024       0000318914   0000327679   0000008766   reserve_2
029:  025       0000327680   0000329727   0000002048   misc
030:  026       0000329728   0000329735   0000000008   debug_config
031:  027       0000329736   0000332807   0000003072   modem_st1
032:  028       0000332808   0000335879   0000003072   modem_st2
033:  029       0000335880   0000336391   0000000512   pdata
034:  030       0000336392   0000381447   0000045056   persist
035:  031       0000381448   0000381479   0000000032   sec
036:  032       0000381480   0000383527   0000002048   cdma_record
037:  033       0000383528   0000383529   0000000002   fsc
038:  034       0000383530   0000383545   0000000016   ssd
039:  035       0000383546   0000383801   0000000256   rfg_8
040:  036       0000383802   0000384057   0000000256   rfg_9
041:  037       0000384058   0000384313   0000000256   rfg_10
042:  038       0000384314   0000384569   0000000256   rfg_11
043:  039       0000384570   0000384825   0000000256   rfg_12
044:  040       0000384826   0000385081   0000000256   rfg_13
045:  041       0000385082   0000385337   0000000256   rfg_14
046:  042       0000385338   0000385593   0000000256   rfg_15
047:  043       0000385594   0000385625   0000000032   control
048:  044       0000385626   0000385753   0000000128   extra
049:  045       0000385754   0000388315   0000002562   local
050:  046       0000388316   0000388827   0000000512   skylink
051:  047       0000388828   0000470747   0000081920   carrier
052:  048       0000470748   0000471771   0000001024   frp
053:  049       0000471772   0000512731   0000040960   fataldevlog
054:  050       0000512732   0000574171   0000061440   devlog
055:  051       0000574172   0000594651   0000020480   ramdump
056:  052       0000594652   0000615131   0000020480   battery
057:  053       0000615132   0000647899   0000032768   absolute
058:  054       0000647900   0000720895   0000072996   reserve
059:  055       0000720896   0000819199   0000098304   hosd
060:  056       0000819200   0000884735   0000065536   boot
061:  057       0000884736   0000950271   0000065536   recovery
062:  058       0000950272   0001474559   0000524288   cache
063:  059       0001474560   0006717439   0005242880   system
064:  060       0006717440   0007307263   0000589824   apppreload
065:  061       0007307264   0007389183   0000081920   cota
066:  062       0007389184   0015253503   0007864320   userdata
067:  -------   0015253504   0015269887   0000016384   Unallocated
